,name,text
10,RSM132-8-645BMDG-665BMDG - 645 - 665 Watt (660W),"name:RSM132-8-645BMDG-665BMDG - 645 - 665 Watt (660W);Manufacturer(brand):Risen Energy;cell type:Monocrystalline;number of cells:132.0;wattage:660.0;height:35mm;weight:41.0;application:Commercial;product url:[RSM132-8-645BMDG-665BMDG - 645 - 665 Watt (660W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-rsm132-8-645bmdg-665bmdg-645-665-watt-660w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/f345e867-da78-48e4-8a08-8bee51675cae/RSM132-8-645BMDG-665BMDG%20-%20645%20-%20665%20Watt%20%28660W%29_img.jpeg]"
11,Cheetah HC 72M. 390-410 Watt. Monocrystalline PERC Half Cell Model (390W),"name:Cheetah HC 72M. 390-410 Watt. Monocrystalline PERC Half Cell Model (390W);Manufacturer(brand):Jinko Solar;cell type:Monocrystalline PERC;number of cells:144.0;wattage:390.0;height:30mm;weight:9.98;application:Residential;product url:[Cheetah HC 72M. 390-410 Watt. Monocrystalline PERC Half Cell Model (390W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-cheetah-hc-72m-390-410-watt-monocrystalline-perc-half-cell-model-390w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/9a20517c-23d4-48d7-891f-a707bf44853a/Cheetah%20HC%2072M.%20390-410%20Watt.%20Monocrystalline%20PERC%20Half%20Cell%20Model%20%28390W%29_img.jpg]"
12,Tallmax Plus FRAMED 144 HALF-CELL MODULE - 345 - 395 Watt (365W),"name:Tallmax Plus FRAMED 144 HALF-CELL MODULE - 345 - 395 Watt (365W);Manufacturer(brand):Trina Solar;cell type:Monocrystalline;number of cells:144.0;wattage:365.0;height:40mm;weight:23.0;application:Residential;product url:[Tallmax Plus FRAMED 144 HALF-CELL MODULE - 345 - 395 Watt (365W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-tallmax-plus-framed-144-half-cell-module-345-395-watt-365w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/38836657-44ec-40a9-bd7d-b70b4bfc555d/Tallmax%20Plus%20FRAMED%20144%20HALF-CELL%20MODULE%20-%20345%20-%20395%20Watt%20%28365W%29_img.jpeg]"
13,Vertex Bifacial Dual Glass Moncosrystalline Module  - 640 - 665 Watt (640W),"name:Vertex Bifacial Dual Glass Moncosrystalline Module  - 640 - 665 Watt (640W);Manufacturer(brand):Trina Solar;cell type:Monocrystalline;number of cells:132.0;wattage:640.0;height:35mm;weight:38.7;application:Commercial;product url:[Vertex Bifacial Dual Glass Moncosrystalline Module  - 640 - 665 Watt (640W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-vertex-bifacial-dual-glass-moncosrystalline-module-640-665-watt-640w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/16db8151-348c-431b-b7b1-397565dd555a/Vertex%20Bifacial%20Dual%20Glass%20Moncosrystalline%20Module%20%20-%20640%20-%20665%20Watt%20%28640W%29_img.jpeg]"
14,First Solar Series 4x PV Module - 105 - 117.5 Watt (112.5W),"name:First Solar Series 4x PV Module - 105 - 117.5 Watt (112.5W);Manufacturer(brand):First Solar;cell type:Thin-film;number of cells:105.0;wattage:112.0;height:6.8mm;weight:12.0;application:Residential;product url:[First Solar Series 4x PV Module - 105 - 117.5 Watt (112.5W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-first-solar-series-4x-pv-module-105-117-5-watt-112-5w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/4c0c38c8-5b8e-4cfe-9b7e-0649d0cfce6a/First%20Solar%20Series%204x%20PV%20Module%20-%20105%20-%20117.5%20Watt%20%28112.5W%29_img.jpg]"
15,LG NeON 2 60 Cell - Monocrystalline - 340 - 370  (340W),"name:LG NeON 2 60 Cell - Monocrystalline - 340 - 370  (340W);Manufacturer(brand):LG Solar;cell type:Monocrystalline;number of cells:60.0;wattage:340.0;height:40mm;weight:17.1;application:Residential;product url:[LG NeON 2 60 Cell - Monocrystalline - 340 - 370  (340W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-lg-neon-2-60-cell-monocrystalline-340-370-340w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/6a6025ee-0cbb-40b3-83bd-a89df3abeda6/LG%20NeON%202%2060%20Cell%20-%20Monocrystalline%20-%20340%20-%20370%20%20%28340W%29_img.jpeg]"
16,Monocrystalline PV Module - PENTA+ Premium - 290 - 310 Watt (310W),"name:Monocrystalline PV Module - PENTA+ Premium - 290 - 310 Watt (310W);Manufacturer(brand):Astronergy;cell type:Monocrystalline;number of cells:nan;wattage:310.0;height:35mm;weight:18.4;application:Residential;product url:[Monocrystalline PV Module - PENTA+ Premium - 290 - 310 Watt (310W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-monocrystalline-pv-module-penta-premium-290-310-watt-310w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/482b428f-2e68-4621-a423-471cd36743cd/Monocrystalline%20PV%20Module%20-%20PENTA%2B%20Premium%20-%20290%20-%20310%20Watt%20%28310W%29_img.jpg]"
17,DEEP BLUE 3.0 - JAM54S30  - 395 - 420 Watt (420W),"name:DEEP BLUE 3.0 - JAM54S30  - 395 - 420 Watt (420W);Manufacturer(brand):JA Solar;cell type:Monocrystalline;number of cells:108.0;wattage:420.0;height:30mm;weight:21.5;application:Commercial;product url:[DEEP BLUE 3.0 - JAM54S30  - 395 - 420 Watt (420W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-deep-blue-3-0-jam54s30-395-420-watt-420w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/82f4b407-50a6-42e0-9e00-f33b40816101/DEEP%20BLUE%203.0%20-%20JAM54S30%20%20-%20395%20-%20420%20Watt%20%28420W%29_img.jpg]"
18,First Solar Series 4x PV Module - 105 - 117.5 Watt (105W),"name:First Solar Series 4x PV Module - 105 - 117.5 Watt (105W);Manufacturer(brand):First Solar;cell type:Thin-film;number of cells:105.0;wattage:105.0;height:6.8mm;weight:12.0;application:Residential;product url:[First Solar Series 4x PV Module - 105 - 117.5 Watt (105W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-first-solar-series-4x-pv-module-105-117-5-watt-105w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/052a546c-5475-43d9-a7e8-17dc3d6b6525/First%20Solar%20Series%204x%20PV%20Module%20-%20105%20-%20117.5%20Watt%20%28105W%29_img.jpg]"
19,Eagle 72HM G5b. 525-545 Watt. Half Cell Bifacial. (530W),"name:Eagle 72HM G5b. 525-545 Watt. Half Cell Bifacial. (530W);Manufacturer(brand):Jinko Solar;cell type:Half-Cell;number of cells:144.0;wattage:530.0;height:40mm;weight:13.34;application:Commercial;product url:[Eagle 72HM G5b. 525-545 Watt. Half Cell Bifacial. (530W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-eagle-72hm-g5b-525-545-watt-half-cell-bifacial-530w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/40851c41-aa28-482a-a30f-baeffbb5c3da/Eagle%2072HM%20G5b.%20525-545%20Watt.%20Half%20Cell%20Bifacial.%20%28530W%29_img.png]"
